Primary,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
DUNSTON 66/11KV,37,58,89,145,219,310,367,416,465,514,563,612,663,763,1140,1514,1885,2252,2606,2943,3267,3624,3992,4359,4727,5093,5460,5826,6109,NPgN,Primary,NPg Best View,Number of heat pumps (total)
DUNSTON 66/20KV,92,128,186,303,461,653,762,845,928,1012,1097,1180,1267,1444,2099,2756,3407,4048,4651,5217,5753,6373,7022,7672,8321,8970,9617,10264,10760,NPgN,Primary,NPg Best View,Number of heat pumps (total)
DURHAM EAST,93,112,144,211,300,404,459,490,520,550,581,611,643,694,908,1128,1342,1545,1718,1870,2010,2200,2414,2629,2845,3060,3275,3489,3662,NPgN,Primary,NPg Best View,Number of heat pumps (total)
EASTFIELD,99,129,176,273,409,574,665,727,788,850,912,974,1038,1184,1737,2293,2841,3378,3876,4340,4777,5288,5831,6374,6917,7458,8000,8540,8954,NPgN,Primary,NPg Best View,Number of heat pumps (total)
EASTGATE CEMENT,22,32,46,72,107,151,174,190,207,223,240,256,274,312,464,614,761,906,1042,1170,1290,1431,1579,1727,1875,2024,2172,2320,2437,NPgN,Primary,NPg Best View,Number of heat pumps (total)
EDUCATIONAL PRECINCT,147,166,206,302,435,592,672,715,757,800,842,884,928,1007,1342,1695,2040,2370,2653,2900,3128,3432,3774,4118,4460,4802,5144,5484,5749,NPgN,Primary,NPg Best View,Number of heat pumps (total)
ELVINGTON,49,57,70,98,135,177,205,224,243,262,281,299,319,343,446,555,661,766,858,943,1024,1121,1226,1332,1438,1544,1650,1756,1842,NPgN,Primary,NPg Best View,Number of heat pumps (total)
FARADAY STREET,189,280,401,623,910,1248,1451,1587,1722,1860,1999,2137,2281,2493,3217,3936,4626,5297,5891,6425,6914,7542,8239,8938,9636,10331,11025,11716,12252,NPgN,Primary,NPg Best View,Number of heat pumps (total)
FAWDON T1 & SEATON BURN T1,162,236,322,497,734,1019,1185,1313,1443,1575,1707,1836,1973,2184,2934,3683,4422,5149,5820,6435,7009,7705,8442,9181,9919,10656,11392,12126,12693,NPgN,Primary,NPg Best View,Number of heat pumps (total)
FISHBURN,373,415,515,756,1086,1470,1665,1772,1876,1982,2087,2190,2296,2462,3124,3833,4522,5171,5701,6147,6546,7136,7817,8501,9184,9867,10549,11229,11753,NPgN,Primary,NPg Best View,Number of heat pumps (total)
FLATWORTH CENTRAL,68,88,121,188,281,396,459,500,542,584,626,667,711,800,1135,1472,1803,2126,2423,2696,2950,3257,3585,3915,4244,4573,4902,5230,5485,NPgN,Primary,NPg Best View,Number of heat pumps (total)
FOSS ISLANDS,183,229,310,470,686,945,1077,1157,1235,1313,1392,1469,1550,1715,2381,3054,3711,4341,4904,5413,5883,6482,7134,7787,8439,9090,9739,10387,10895,NPgN,Primary,NPg Best View,Number of heat pumps (total)
FOSSWAY 33/11KV,196,253,355,572,863,1203,1387,1506,1626,1747,1869,1988,2114,2311,3054,3810,4553,5269,5905,6471,6994,7677,8426,9178,9929,10679,11428,12175,12751,NPgN,Primary,NPg Best View,Number of heat pumps (total)
FOURSTONES 20KV,148,186,238,351,510,703,796,847,896,946,996,1047,1099,1215,1673,2134,2579,3011,3385,3715,4013,4412,4853,5295,5735,6174,6611,7047,7390,NPgN,Primary,NPg Best View,Number of heat pumps (total)
FYLANDS BRIDGE,243,286,373,568,830,1133,1289,1383,1476,1570,1665,1757,1854,2020,2678,3361,4031,4673,5231,5727,6187,6795,7470,8146,8823,9498,10173,10848,11367,NPgN,Primary,NPg Best View,Number of heat pumps (total)
