Primary,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area
COWTON,1.573,1.539,1.516,1.497,1.487,1.483,1.493,1.509,1.525,1.544,1.570,1.603,1.643,1.702,1.754,1.802,1.851,1.898,1.964,2.021,2.058,2.092,2.118,2.140,2.155,2.167,2.177,2.184,2.186,2.186,2.183,2.180,2.175,2.170,NPgN
CRAMLINGTON T1 T3,12.936,13.192,13.009,12.853,12.744,12.675,12.648,12.650,12.669,12.706,12.768,12.863,12.981,13.148,13.295,13.432,13.576,13.714,13.910,14.082,14.199,14.302,14.384,14.457,14.502,14.544,14.584,14.620,14.639,14.650,14.659,14.664,14.667,14.668,NPgN
CRAMLINGTON T2 T4,13.315,13.100,12.893,12.711,12.568,12.456,12.361,12.280,12.206,12.144,12.097,12.068,12.052,12.055,12.052,12.050,12.054,12.058,12.084,12.106,12.112,12.116,12.116,12.117,12.111,12.108,12.112,12.115,12.111,12.103,12.096,12.089,12.082,12.075,NPgN
DARLEY,4.494,4.385,4.322,4.270,4.250,4.251,4.294,4.355,4.420,4.495,4.590,4.711,4.851,5.043,5.215,5.374,5.537,5.692,5.901,6.085,6.211,6.322,6.409,6.485,6.541,6.592,6.632,6.667,6.685,6.692,6.696,6.696,6.692,6.687,NPgN
DARLINGTON 132/6KV,7.797,7.677,7.570,7.486,7.441,7.436,7.494,7.588,7.708,7.849,8.021,8.232,8.472,8.759,9.019,9.264,9.513,9.754,10.063,10.342,10.548,10.734,10.892,11.036,11.143,11.237,11.320,11.396,11.456,11.506,11.551,11.591,11.628,11.662,NPgN
DARLINGTON 33/11KV,16.227,15.882,15.634,15.422,15.282,15.206,15.229,15.311,15.432,15.586,15.789,16.055,16.367,16.775,17.137,17.476,17.825,18.158,18.610,19.012,19.291,19.537,19.736,19.912,20.027,20.122,20.199,20.265,20.309,20.336,20.355,20.367,20.372,20.374,NPgN
DARLINGTON CENTRAL 33/11KV,5.370,13.658,13.590,13.536,13.504,13.500,13.547,13.618,13.701,13.797,13.915,14.063,14.232,14.455,14.655,14.841,15.031,15.212,15.454,15.669,15.818,15.950,16.056,16.151,16.211,16.262,16.305,16.340,16.365,16.380,16.391,16.397,16.400,16.402,NPgN
DARLINGTON EAST,16.711,16.345,16.055,15.801,15.613,15.486,15.444,15.448,15.475,15.532,15.632,15.789,15.986,16.268,16.516,16.748,16.989,17.220,17.550,17.841,18.034,18.205,18.338,18.455,18.526,18.586,18.631,18.668,18.684,18.687,18.684,18.675,18.661,18.646,NPgN
DARLINGTON WEST,19.936,19.504,19.245,19.035,18.904,18.869,19.013,19.260,19.570,19.929,20.370,20.923,21.555,22.394,23.147,23.849,24.567,25.250,26.168,26.981,27.542,28.036,28.430,28.778,28.997,29.179,29.327,29.449,29.530,29.577,29.608,29.623,29.625,29.621,NPgN
DENWICK,21.863,21.402,21.075,20.784,20.633,20.539,20.520,20.510,20.456,20.427,20.430,20.477,20.556,20.719,20.855,20.975,21.104,21.225,21.423,21.589,21.690,21.803,21.885,21.956,22.015,22.079,22.130,22.175,22.163,22.126,22.084,22.037,21.986,21.934,NPgN
DUNSTON 66/11KV,15.088,15.524,15.352,15.213,15.131,15.103,15.155,15.259,15.402,15.572,15.785,16.054,16.363,16.770,17.137,17.482,17.836,18.177,18.628,19.032,19.321,19.578,19.789,19.981,20.113,20.229,20.329,20.419,20.485,20.535,20.578,20.614,20.644,20.672,NPgN
DUNSTON 66/20KV,17.126,16.814,16.687,16.605,16.601,16.675,16.893,17.195,17.561,17.972,18.451,19.018,19.653,20.435,21.145,21.813,22.490,23.141,23.973,24.723,25.276,25.778,26.199,26.585,26.871,27.126,27.350,27.553,27.691,27.798,27.892,27.972,28.042,28.107,NPgN
DURHAM EAST,18.405,14.391,14.102,13.854,13.674,13.560,13.534,13.562,13.626,13.721,13.861,14.060,14.301,14.639,14.938,15.217,15.508,15.786,16.174,16.517,16.748,16.950,17.109,17.248,17.330,17.397,17.449,17.491,17.516,17.525,17.529,17.525,17.516,17.505,NPgN
EASTFIELD,24.016,23.516,23.150,22.847,22.661,22.581,22.649,22.791,22.973,23.202,23.501,23.883,24.327,24.894,25.402,25.878,26.367,26.835,27.463,28.023,28.420,28.786,29.086,29.356,29.546,29.710,29.845,29.964,29.973,29.951,29.919,29.876,29.825,29.771,NPgN
EASTGATE CEMENT,7.681,7.532,7.388,7.261,7.171,7.102,7.045,7.015,7.032,7.055,7.086,7.126,7.173,7.214,7.252,7.290,7.330,7.370,7.424,7.474,7.510,7.541,7.567,7.591,7.584,7.558,7.532,7.505,7.465,7.418,7.369,7.320,7.270,7.220,NPgN
EDUCATIONAL PRECINCT,16.114,15.903,15.718,15.554,15.431,15.341,15.276,15.221,15.143,15.081,15.039,15.019,15.017,15.069,15.109,15.146,15.188,15.228,15.307,15.376,15.412,15.441,15.458,15.472,15.471,15.484,15.517,15.549,15.577,15.600,15.624,15.645,15.666,15.687,NPgN
ELVINGTON,11.768,12.650,12.441,12.252,12.097,11.970,11.857,11.759,11.672,11.598,11.539,11.497,11.469,11.451,11.433,11.417,11.407,11.399,11.408,11.415,11.414,11.417,11.417,11.419,11.418,11.419,11.420,11.422,11.420,11.418,11.417,11.415,11.415,11.414,NPgN
